de;7602
qu;6248
do;5775
co;5550
ra;4983
se;4138
es;4084
pa;3935
ca;3896
me;3809
ta;3730
as;3714
an;3689
os;3576
um;3482
ma;3467
na;3188
te;3014
nt;2970
da;2937
ss;2836
pe;2691
po;2620
en;2592
re;2550
is;2489
la;2448
no;2417
di;2385
nd;2367
nh;2347
ar;2287
em;2282
so;2280
to;2193
el;2184
va;2170
ad;2119
sa;2055
er;2033
am;1977
ve;1973
in;1851
ba;1801
ti;1764
mo;1760
ri;1690
al;1642
ou;1633
ha;1624
ro;1530
tr;1527
le;1457
ei;1456
vi;1453
st;1442
vo;1423
ia;1325
ce;1300
mi;1293
or;1238
fa;1221
pr;1215
ho;1200
fi;1197
it;1143
lh;1139
ir;1117
ac;1116
be;1083
rr;1063
eu;1060
ci;1058
lo;974
ao;972
gu;958
ch;946
rt;895
fo;893
su;873
li;871
av;855
at;842
ue;814
si;795
nc;791
ja;786
br;774
ga;767
id;765
ze;758
ne;749
ol;739
ab;734
mu;705
on;679
ns;671
mp;662
bo;642
us;635
ag;635
im;632
io;620
un;618
eg;612
go;602
fe;543
pi;541
mb;529
ap;523
sc;505
rd;502
aq;502
gr;490
ic;453
sp;449
rg;447
ni;428
tu;424
ui;422
ul;413
ec;411
lt;411
ix;405
hi;397
ng;386
ge;382
bi;381
cr;380
sm;377
rm;362
fr;356
cu;355
ex;335
et;333
af;332
rn;332
ru;323
ur;323
zi;321
uc;316
rc;315
pu;313
ai;300
lu;280
fu;278
jo;277
kh;277
hr;276
nu;270
bu;260
oc;259
cl;251
ig;249
du;239
za;238
sh;226
he;226
ya;219
om;210
je;209
il;207
ed;207
gi;207
ka;203
iu;200
vr;193
iv;192
ua;189
ju;170
lv;169
pl;169
oa;168
ob;167
ez;164
dr;161
oe;161
op;154
lm;145
ud;141
az;139
rq;132
ot;114
nv;114
wa;113
rv;111
of;110
ea;99
aj;98
rs;97
ld;94
eb;92
ev;92
ub;92
lc;91
au;89
ah;87
ep;84
xo;82
ut;81
rp;80
oi;77
xi;76
if;76
xa;76
ov;71
iz;71
rb;68
eo;67
uv;66
ls;64
up;63
xe;59
fl;57
aw;56
uz;54
sq;50
ej;48
bl;47
sf;46
ib;45
gn;44
gh;41
od;40
lp;40
ko;40
nz;39
sl;38
sr;37
rf;37
sd;37
gl;36
nq;35
ak;34
nj;34
nf;34
zo;33
ef;33
ie;33
og;33
ij;31
uo;31
ku;28
uq;28
rz;27
sg;26
ay;26
ct;26
yo;25
nr;23
hu;23
eq;22
ll;21
ox;21
ee;20
hn;20
sv;20
xu;20
eh;18
ew;18
yw;18
rk;17
tv;17
iq;16
lg;16
sb;16
lb;14
ji;14
nn;13
we;13
xt;12
mm;12
uy;12
oj;12
pn;12
oo;11
ry;11
ug;11
zu;11
oz;10
pt;10
ip;10
ck;9
ye;9
sn;9
yy;9
pc;9
hm;9
ax;9
tt;8
rj;8
ki;8
rl;8
yb;7
ym;7
uj;7
tm;7
ts;7
th;7
oq;6
bb;6
ft;6
ht;6
cc;6
ux;6
bs;5
ny;5
ok;5
rh;5
ae;5
tl;5
rw;5
qi;5
ke;5
dd;4
qa;4
zr;4
dj;4
wl;4
bm;4
oh;4
vs;4
tw;3
vu;3
zk;3
wo;3
pf;3
lz;3
gz;3
qo;3
ql;3
ii;3
yn;3
tc;3
hw;2
ph;2
gs;2
xy;2
wb;2
ty;2
oy;2
lf;2
uh;2
zm;2
yd;2
zy;2
ww;2
zd;2
hh;2
ih;2
kr;2
qs;2
ps;2
ws;2
cn;2
yv;2
sj;2
ey;2
cd;2
my;2
md;1
nw;1
bv;1
mc;1
by;1
sk;1
tp;1
mr;1
pb;1
dy;1
ff;1
gt;1
bn;1
fz;1
pp;1
zz;1
dk;1
dw;1
gg;1
ek;1
jj;1
bz;1
wi;1
wh;1
nk;1
bt;1
ly;1
nl;1
dh;1
wt;1
kt;1
ik;1
py;1
sy;1
tf;1
ow;1
lj;1
wr;1
sw;1
